KEY	SRR1554537	SRR1554538	SRR1554568	SRR1554535	SRR1554536	SRR1554539
6318	1	0	0	0	0	0
6319	44174	63929	42148	83054	30268	35331
632	32	19	32	10	17	6
6320	458	392	429	528	248	355
6322	2343	2554	2998	1192	465	970
6323	2330	1285	1755	7859	666	13714
6324	153	82	44	15756	1633	12793
6326	18865	21402	10403	15920	1094	35101
6327	1270	1143	588	12434	878	15440
6328	25455	36829	19042	3345	643	4888
6329	19	13	285	22	2	74
633	2077	3275	2088	3010	3222	1618
6330	1339	946	189	8734	909	7876
6331	278	331	637	139	60	403
6332	45	40	29	162	60	283
6334	8555	12861	7832	11966	596	26029
6335	2214	6003	1399	284	92	305
6336	0	0	0	0	0	2
6337	0	2	5	10	5	0
6338	5	6	2	0	2	0
6339	2428	2789	2970	2705	592	1511
634	29	35	16	10	11	15
6340	106	514	292	14	0	8
6341	1733	1934	1362	1213	243	1213
6342	4811	6420	5422	7073	2826	5218
6343	0	0	0	0	0	0
6344	13	34	13	27	11	68
6345	4	12	15	102	115	107
6346	0	0	0	2	0	7
6347	39	66	30	59	83	33
6348	0	0	0	0	0	0
635	9	30	23	91	8	108
6351	0	0	0	0	0	0
6352	0	0	0	0	0	0
6354	0	1	0	0	0	0
6355	0	0	2	0	3	5
6356	0	0	0	0	0	0
6357	0	17	5	0	0	2
6358	0	0	0	0	0	0
6359	0	0	0	0	0	0
636	16876	21939	20642	3111	412	4743
6360	0	0	0	0	0	0
6361	6	6	10	0	1	4
6362	0	0	0	0	0	0
6363	9	26	15	11	79	57
6364	0	1	5	0	0	0
6366	0	4	2	0	1	0
6367	9	1	0	0	0	0
6368	0	0	0	0	0	0
6369	0	0	0	3	0	0
637	3956	4842	3198	3368	748	2452
6370	64	106	33	4	2	6
6372	13	37	22	1	8	2
6373	0	0	0	8	17	11
6374	7	38	15	93	23	53
6375	0	0	0	5	4	2
6376	587	1033	402	11637	1888	13725
638	41	45	31	7	8	14
6382	1143	1426	686	96	22	87
63826	2742	3221	2252	647	252	557
63827	6457	11710	8198	17424	11889	7494
6383	1934	3259	1288	4529	2645	1239
6385	294	338	296	3892	4258	713
6386	12493	15269	9881	7271	3179	6026
6387	1296	3833	2566	1115	564	1392
63874	828	2001	1497	1179	956	580
